ID,GENDER,AGE,COUNTRY,EDUCATION,OPENMINDEDNESS_Z,CONSCIENTIOUSNESS_Z,EXTRAVERSION_Z,AGREEABLENESS_Z,NEGATIVEEMOTIONALITY_Z,NUM_SESSIONS,SESSION1,SESSION2,SESSION3,SESSION4,SESSION5
2,F,29,Spain,Masters_degree,-1.683690301,1.292321023,-0.231236643,1.160066028,-0.3124237039999999,1,002003,,,,
3,F,28,Peru,Secondary,-0.263907733,0.616151853,0.243083386,0.982577987,-0.437972074,2,003005,002003,,,
4,M,31,Spain,Doctorate,-0.421661351,-0.330484984,-0.705556672,0.272625821,-0.3124237039999999,2,004115,004096,,,
5,F,28,Spain,Secondary,-0.894922208,-0.87142032,-1.812303406,-1.502254595,1.194156738,3,005013,003005,005134,,
6,M,32,Pakistan,Doctorate,-0.646153846,0.415584416,-0.6,-0.020833333,0.111111111,2,006007,006153,,,
7,F,32,Hungary,Masters_degree,0.892307692,1.714285714,0.8583333329999999,-1.583333333,1.7394636019999998,1,006007,,,,
9,F,33,Spain,Bachelor/uni_degree,-1.210429445,1.56278869,-1.812303406,0.450113862,0.189769776,3,,009106,009167,,
10,F,22,Peru,Bachelor/uni_degree,0.524860361,0.345684185,-1.337983377,-1.502254595,1.947446959,2,010011,010034,,,
11,M,22,Spain,Vocational/Training,0.68261398,-0.330484984,1.191723444,0.095137779,0.691963257,2,010011,011034,,,
13,M,30,Ecuador,Masters_degree,1.94464293,0.210450351,-1.179876701,-0.437326346,0.315318147,2,013041,005013,,,
15,M,22,Spain,Bachelor/uni_degree,-3.10347287,-0.0600173159999999,0.717403415,-0.792302429,-0.563520445,2,015126,015133,,,
17,M,22,Spain,Masters_degree,1.155874836,0.886619521,-0.547449995,0.6276019039999999,-1.316810666,4,017150,017149,,017027,
18,F,25,Nicaragua,Masters_degree,-0.57941497,1.021853355,0.401190063,-0.0823502629999999,0.566414887,2,018025,018020,,,
20,M,23,Spain,Bachelor/uni_degree,1.629135693,1.021853355,-0.3893433189999999,-1.147278512,-1.567907406,5,020150,020149,020025,018020,020090
23,F,28,Ecuador,Masters_degree,0.367106742,-0.7361864859999999,-0.705556672,0.6276019039999999,-0.814617185,2,023102,023191,,,
25,F,42,Venezuela,Bachelor/uni_degree,1.94464293,1.021853355,1.507936797,0.450113862,-1.191262295,4,020025,018025,025157,025044,
27,F,63,Venezuela,Bachelor/uni_degree,1.786889311,1.157087189,0.559296739,0.6276019039999999,0.566414887,5,027076,027113,027154,027118,017027
30,F,28,Chile,Masters_degree,0.051599505,0.075216517,0.717403415,-0.2598383039999999,-0.1868753339999999,3,030082,030078,030079,,
34,F,27,Chile,Masters_degree,0.367106742,0.075216517,-0.231236643,-0.2598383039999999,-0.940165555,5,034133,034035,010034,011034,034121
35,M,36,Chile,Bachelor/uni_degree,0.367106742,0.075216517,-0.705556672,1.515042112,-2.321197627,5,035040,034035,035166,035114,
40,M,23,Spain,Bachelor/uni_degree,-0.106154114,-2.494226327,-1.4960900540000002,0.805089945,0.315318147,2,040090,035040,,,
41,F,58,Spain,Vocational/Training,-0.263907733,0.480918019,-0.547449995,1.692530153,-0.061326964,4,041083,041084,,013041,
42,F,54,Spain,Secondary,-1.999197539,-0.600952652,-0.231236643,-0.2598383039999999,1.194156738,2,042084,042092,,,
43,M,41,Brasil,Masters_degree,-0.421661351,0.7513856870000001,-0.231236643,-0.0823502629999999,-2.572294367,5,,043152,043079,043143,
44,F,40,Brasil,Masters_degree,0.68261398,-1.006654154,1.033616768,0.095137779,0.691963257,5,,044156,025044,,044157
51,M,23,Spain,Bachelor/uni_degree,-0.263907733,1.292321023,0.559296739,0.272625821,-2.195649257,5,,051076,,,051100
55,M,22,Spain,Masters_degree,-0.737168589,-0.87142032,-0.231236643,-2.03471872,-1.191262295,5,,055128,055125,,
58,M,23,Czech Republic,Bachelor/uni_degree,0.251282051,-0.341991342,-0.2875,1.151041667,-0.272030651,2,058110,058059,,,
59,M,25,Czech Republic,Bachelor/uni_degree,-0.133333333,-1.640692641,-0.7041666670000001,-0.541666667,-0.272030651,3,,059134,058059,,
76,M,38,Spain,Doctorate,0.840367599,1.56278869,0.401190063,0.095137779,1.068608368,5,,076122,051076,027076,076143
78,M,32,Venezuela,Masters_degree,1.94464293,-1.006654154,-0.547449995,-1.324766554,-1.316810666,2,030078,078156,,,
79,M,30,Spain,Doctorate,2.1023965490000003,0.480918019,1.191723444,-0.0823502629999999,-0.689068815,5,,079142,043079,030079,079123
82,F,25,Spain,Masters_degree,0.840367599,0.075216517,1.033616768,0.095137779,1.194156738,2,082174,030082,,,
83,F,52,Spain,Vocational/Training,-1.210429445,1.56278869,-0.547449995,1.33755407,-0.563520445,1,041083,,,,
84,M,64,Spain,Secondary,-1.84144392,-0.87142032,-1.4960900540000002,-2.922158928,-0.3124237039999999,2,042084,041084,,,
90,M,24,Spain,Masters_degree,0.68261398,-0.0600173159999999,0.08497671,-0.792302429,0.064221406,2,020090,040090,,,
92,M,32,Chile,Bachelor/uni_degree,-1.525936683,0.345684185,-0.231236643,-0.792302429,-1.191262295,5,092107,042092,092096,092108,092168
