ID,PART.1,PART.2,TIMESTAMP,LEGO,ANIMALS,WHICH_LEGO,LANGUAGE,NOTES,KNOWN,TALK_ORDER,LEGO_ORDER,GHOST_ORDER,GAZE_ORDER,ANIMALS_ORDER,ANIMAL_PART.1,ANIMAL_PART.2,FATIGUE_BEFORE_PART.1,FATIGUE_BEFORE_PART.2,FATIGUE_AFTER_PART.1,FATIGUE_AFTER_PART.2,PEQPN_GOOD_BEFORE_PART.1,PEQPN_GOOD_BEFORE_PART.2,PEQPN_BAD_BEFORE_PART.1,PEQPN_BAD_BEFORE_PART.2,PEQPN_HAPPY_BEFORE_PART.1,PEQPN_HAPPY_BEFORE_PART.2,PEQPN_SAD_BEFORE_PART.1,PEQPN_SAD_BEFORE_PART.2,PEQPN_FRIENDLY_BEFORE_PART.1,PEQPN_FRIENDLY_BEFORE_PART.2,PEQPN_UNFRIENDLY_BEFORE_PART.1,PEQPN_UNFRIENDLY_BEFORE_PART.2,PEQPN_TENSE_BEFORE_PART.1,PEQPN_TENSE_BEFORE_PART.2,PEQPN_RELAXED_BEFORE_PART.1,PEQPN_RELAXED_BEFORE_PART.2,PEQPN_GOOD_AFTER_PART.1,PEQPN_GOOD_AFTER_PART.2,PEQPN_BAD_AFTER_PART.1,PEQPN_BAD_AFTER_PART.2,PEQPN_HAPPY_AFTER_PART.1,PEQPN_HAPPY_AFTER_PART.2,PEQPN_SAD_AFTER_PART.1,PEQPN_SAD_AFTER_PART.2,PEQPN_FRIENDLY_AFTER_PART.1,PEQPN_FRIENDLY_AFTER_PART.2,PEQPN_UNFRIENDLY_AFTER_PART.1,PEQPN_UNFRIENDLY_AFTER_PART.2,PEQPN_TENSE_AFTER_PART.1,PEQPN_TENSE_AFTER_PART.2,PEQPN_RELAXED_AFTER_PART.1,PEQPN_RELAXED_AFTER_PART.2
128129,129,128,2019-05-04 10:10:00,3,1,Propeller Plane,Catalan,No tiredness,True,1,4,2,5,3,Rabbit,Penguin,0,0,0,0,4,4,1,1,4,3,2,1,4,3,2,1,4,4,2,3,4,4,2,1,4,4,2,1,4,4,2,1,2,3,4,4
127128,128,127,2019-05-04 11:40:00,2,1,Minicar,Catalan,No tiredness; no presessions - use the first one,True,1,2,4,5,3,Giraffe,Donkey,0,0,0,0,4,2,1,2,3,4,1,2,3,4,1,1,4,2,3,4,4,4,1,1,4,4,1,1,4,4,1,1,3,2,3,4
127129,127,129,2019-05-04 12:21:00,1,1,Valentine's Rose,Catalan,No tiredness; no presessions - use the first one,True,1,4,3,5,2,Kangaroo,Lion,0,0,0,0,2,4,2,1,4,4,2,2,4,4,1,2,2,4,4,2,5,4,1,2,4,4,2,2,4,4,2,2,1,2,4,4
055128,128,55,2019-05-04 13:15:00,2,2,Racing Car,Catalan,No tiredness; no presessions - use the first one,True,1,4,3,5,2,Goat,Panda,0,0,0,0,4,4,1,3,3,3,1,3,3,4,1,2,4,2,3,4,4,4,2,2,1,4,1,1,3,5,1,1,2,2,4,3
059134,134,59,2019-05-09 19:14:00,2,1,Racing Car,English,No tiredness; no presessions - use the first one,False,1,2,4,5,3,Penguin,Lion,0,0,0,0,5,2,2,4,5,3,1,2,4,4,2,2,3,4,2,3,3,4,3,2,4,3,2,3,4,4,2,2,2,2,3,4
118125,118,125,2019-05-09 20:00:00,2,1,Minicar,Catalan,No tiredness; no presessions - use the first one,True,1,3,4,5,2,Eagle,Giraffe,0,0,0,0,4,4,1,2,4,4,2,1,4,4,2,1,2,3,3,2,5,5,1,1,5,5,1,1,5,5,1,1,1,1,5,2
055125,125,55,2019-05-09 20:47:00,1,2,Mill,Catalan,No tiredness,False,1,4,3,5,2,Deer,Owl,0,0,0,0,5,4,1,2,5,3,1,2,5,4,5,2,5,3,2,2,5,4,1,2,5,4,1,2,5,4,1,1,1,1,3,2
058110,110,58,2019-05-10 10:30:00,2,2,Whatever 2,English,,False,1,3,4,5,2,Koala,Panda,4,3,4,2,4,4,1,2,4,4,2,2,4,3,2,2,2,2,3,4,4,1,1,1,4,4,1,1,5,4,2,1,2,2,4,4
058059,58,59,2019-05-10 11:19:00,3,3,Propeller Plane,English,,True,1,4,3,5,2,Peacock,Flamingo,2,4,3,6,4,4,1,2,4,4,1,2,5,4,1,2,2,3,4,4,4,4,1,2,4,4,1,2,4,4,1,2,2,2,4,4
110136,136,110,2019-05-10 13:12:00,2,1,Locomotive,English,110 no pressesion - use the first one,True,1,3,4,5,2,Crocodile,Kangaroo,2,4,2,6,5,4,1,1,3,4,1,2,3,4,1,2,1,2,4,3,5,4,1,2,4,4,5,1,3,4,3,1,2,2,3,4
